Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
27.0000      -1147.6525   -1147.8459       0.1935  1496.8
27.1000      -1147.6254   -1147.8151       0.1897  1467.8
27.2000      -1147.6374   -1147.8194       0.1820  1407.9
27.3000      -1147.6466   -1147.8388       0.1922  1486.9
27.4000      -1147.6432   -1147.8205       0.1773  1371.4
27.5000      -1147.6358   -1147.8530       0.2172  1680.1
27.6000      -1147.6721   -1147.8448       0.1727  1336.1
27.7000      -1147.6480   -1147.8324       0.1845  1427.3
27.8000      -1147.6788   -1147.8556       0.1768  1368.0
27.9000      -1147.6717   -1147.8643       0.1926  1490.3
28.0000      -1147.6883   -1147.8694       0.1811  1400.7
28.1000      -1147.6543   -1147.8420       0.1877  1452.1
28.2000      -1147.6488   -1147.8286       0.1797  1390.4
28.3000      -1147.6621   -1147.8529       0.1907  1475.7
28.4000      -1147.6670   -1147.8772       0.2103  1626.7
28.5000      -1147.6324   -1147.8457       0.2132  1649.7
28.6000      -1147.5997   -1147.7978       0.1981  1532.5
28.7000      -1147.6154   -1147.8218       0.2064  1596.7
28.8000      -1147.6177   -1147.8180       0.2003  1550.0
28.9000      -1147.6324   -1147.8463       0.2140  1655.2
29.0000      -1147.5996   -1147.8266       0.2270  1756.3
29.1000      -1147.6305   -1147.8578       0.2273  1758.6
29.2000      -1147.6711   -1147.8473       0.1762  1363.1
29.3000      -1147.6646   -1147.8436       0.1790  1385.1
29.4000      -1147.6242   -1147.7980       0.1738  1344.5
29.5000      -1147.6157   -1147.8360       0.2203  1704.2
29.6000      -1147.6139   -1147.8060       0.1922  1486.5
29.7000      -1147.6663   -1147.8502       0.1840  1423.4
29.8000      -1147.6279   -1147.8163       0.1884  1457.8
29.9000      -1147.5675   -1147.7940       0.2265  1752.3
30.0000      -1147.6453   -1147.8211       0.1758  1360.0
30.1000      -1147.6758   -1147.8441       0.1682  1301.5
30.2000      -1147.6532   -1147.8464       0.1932  1494.9
30.3000      -1147.6407   -1147.8375       0.1968  1522.7
30.4000      -1147.6192   -1147.8279       0.2087  1614.7
30.5000      -1147.6153   -1147.8187       0.2034  1573.4
30.6000      -1147.6426   -1147.8216       0.1790  1384.8
30.7000      -1147.6611   -1147.8415       0.1803  1395.2
30.8000      -1147.6515   -1147.8170       0.1656  1281.0
30.9000      -1147.6022   -1147.8345       0.2323  1797.5
31.0000      -1147.6317   -1147.8403       0.2086  1613.9
31.1000      -1147.6438   -1147.8420       0.1982  1533.3
31.2000      -1147.6915   -1147.8636       0.1720  1330.9
31.3000      -1147.6534   -1147.8646       0.2112  1633.8
31.4000      -1147.6316   -1147.8340       0.2024  1565.6
31.5000      -1147.6588   -1147.8391       0.1804  1395.5
31.6000      -1147.6658   -1147.8403       0.1745  1350.2
31.7000      -1147.6782   -1147.8540       0.1758  1360.4
31.8000      -1147.6829   -1147.8648       0.1819  1407.4
31.9000      -1147.6603   -1147.8624       0.2021  1563.8
32.0000      -1147.6532   -1147.8434       0.1902  1471.5
32.1000      -1147.6848   -1147.8787       0.1939  1500.1
32.2000      -1147.6569   -1147.8266       0.1697  1312.6
32.3000      -1147.6711   -1147.8682       0.1971  1525.1
32.4000      -1147.6198   -1147.8127       0.1929  1492.2
32.5000      -1147.6202   -1147.8096       0.1894  1465.3
32.6000      -1147.6397   -1147.8251       0.1853  1433.9
32.7000      -1147.6645   -1147.8306       0.1661  1284.6
32.8000      -1147.6609   -1147.8336       0.1728  1336.5
32.9000      -1147.6526   -1147.8343       0.1817  1405.9
33.0000      -1147.6346   -1147.8457       0.2111  1632.8
33.1000      -1147.6442   -1147.8340       0.1897  1467.9
33.2000      -1147.6501   -1147.8483       0.1982  1533.1
33.3000      -1147.6688   -1147.8454       0.1766  1366.6
33.4000      -1147.6543   -1147.8393       0.1850  1431.4
33.5000      -1147.6139   -1147.8423       0.2284  1766.9
33.6000      -1147.6012   -1147.8301       0.2288  1770.3
33.7000      -1147.6251   -1147.8433       0.2183  1688.6
33.8000      -1147.6575   -1147.8250       0.1675  1295.8
33.9000      -1147.6437   -1147.8150       0.1713  1325.5
34.0000      -1147.6172   -1147.8198       0.2026  1567.2
34.1000      -1147.6192   -1147.8209       0.2016  1559.9
34.2000      -1147.6554   -1147.8555       0.2001  1548.2
34.3000      -1147.7281   -1147.8883       0.1603  1239.8
34.4000      -1147.6547   -1147.8398       0.1851  1432.1
34.5000      -1147.6321   -1147.8489       0.2169  1677.7
34.6000      -1147.6488   -1147.8695       0.2206  1707.0
34.7000      -1147.6304   -1147.8327       0.2023  1565.4
34.8000      -1147.6618   -1147.8657       0.2039  1577.5
34.9000      -1147.6678   -1147.8526       0.1847  1429.1
35.0000      -1147.6412   -1147.8369       0.1957  1514.2
35.1000      -1147.6286   -1147.8407       0.2120  1640.2
35.2000      -1147.6560   -1147.8450       0.1890  1462.1
35.3000      -1147.6515   -1147.8498       0.1983  1534.5
35.4000      -1147.6928   -1147.8900       0.1972  1525.6
35.5000      -1147.7120   -1147.8881       0.1761  1362.4
35.6000      -1147.6814   -1147.8657       0.1843  1425.6
35.7000      -1147.6477   -1147.8636       0.2159  1670.0
35.8000      -1147.6678   -1147.8527       0.1849  1430.2
35.9000      -1147.6459   -1147.8422       0.1963  1519.0
36.0000      -1147.6549   -1147.8501       0.1952  1509.9
36.1000      -1147.6386   -1147.8306       0.1919  1484.9
36.2000      -1147.6635   -1147.8417       0.1781  1378.1
36.3000      -1147.6670   -1147.8287       0.1617  1250.9
36.4000      -1147.6212   -1147.8291       0.2079  1608.5
36.5000      -1147.6503   -1147.8500       0.1998  1545.5
36.6000      -1147.6419   -1147.8534       0.2115  1636.0
36.7000      -1147.6554   -1147.8248       0.1694  1310.6
